37,495,150,2
44,495,174,2
36,470,95,2
14,470,174,2
13,423,174,2
15,423,203,2
2241,430,207,2
2243,423,220,2
2231,397,174,2
2234,365,174,2
12,333,174,2
2232,302,174,2
2228,275,174,2
2221,250,174,2
2226,220,174,2
2224,180,174,2
2222,150,174,2
11,132,174,2
2216,132,205,2
2214,132,235,2
2219,132,270,2
2212,132,305,2
10,132,342,2
2208,122,342,2
2211,142,342,2
2209,132,375,2
2206,132,404,2
2204,132,438,2
2202,132,474,2
9,132,534,2
7,132,585,2
6,178,585,2
2019,220,585,2
2013,278,585,2
2,350,585,2
1,415,585,2
2011,415,525,2
0,457,525,2
41,495,525,2
42,495,495,2
43,495,540,2
38,570,495,2
39,570,540,2
8,178,635,2
2026,178,695,2
2028,178,737,2
2039,178,770,2
16,178,807,2
2018,192,815,2
2032,172,808,2
2032,178,839,2
2038,192,845,2
17,217,845,2
2016,262,845,2
2042,246,851,2
2044,274,851,2
18,311,845,2
2014,346,845,2
19,363,845,2
2048,355,852,2
2052,385,845,2
5,415,621,2
2006,415,665,2
2008,415,713,2
3,415,763,2
2002,380,735,2
2004,380,763,2
2012,415,805,2
4,415,835,2
2054,443,835,2
2056,473,835,2
2058,504,835,2
2051,530,835,2
20,562,835,2
2062,592,835,2
2064,613,835,2
21,634,835,2
2059,634,815,2
2061,660,835,2
2066,686,835,2
2068,709,835,2
22,750,835,2
2072,783,835,2
23,805,837,2
2065,805,825,2
2074,805,848,2
24,825,835,2
2071,840,835,2
25,860,835,2
2076,882,835,2
26,904,835,2
2082,935,820,2
27,935,800,2
2081,935,780,2
2084,935,763,2
2086,935,746,2
28,935,724,2
2089,935,703,2
29,935,680,2
2088,945,680,2
30,897,680,2
2099,870,680,2
2091,880,668,2
31,935,652,2
32,932,633,2
2092,948,638,2
33,940,600,2
40,940,566,2
34,1010,600,2
35,1010,566,2
82,495,150,3
89,495,174,3
81,470,95,3
59,470,174,3
58,423,174,3
60,423,203,3
3241,430,207,3
3243,423,220,3
3231,397,174,3
3234,365,174,3
57,333,174,3
3232,302,174,3
3228,275,174,3
3221,250,174,3
3226,220,174,3
3224,180,174,3
3222,150,174,3
56,132,174,3
3216,132,205,3
3214,132,235,3
3219,132,270,3
3212,132,305,3
55,132,342,3
3208,122,342,3
3211,142,342,3
3209,132,375,3
3206,132,404,3
3204,132,438,3
3202,132,474,3
54,132,534,3
52,132,585,3
51,178,585,3
3019,220,585,3
3013,278,585,3
47,350,585,3
46,415,585,3
3011,415,525,3
45,457,525,3
86,495,525,3
87,495,495,3
88,495,540,3
83,570,495,3
84,570,540,3
53,178,635,3
3026,178,695,3
3028,178,737,3
3039,178,770,3
61,178,807,3
3018,192,815,3
3032,172,808,3
3032,178,839,3
3038,192,845,3
62,217,845,3
3016,262,845,3
3042,246,851,3
3044,274,851,3
63,311,845,3
3014,346,845,3
64,363,845,3
3048,355,852,3
3052,385,845,3
50,415,621,3
3006,415,665,3
3008,415,713,3
48,415,763,3
3002,380,735,3
3004,380,763,3
3012,415,805,3
49,415,835,3
3054,443,835,3
3056,473,835,3
3058,504,835,3
3051,530,835,3
65,562,835,3
3062,592,835,3
3064,613,835,3
66,634,835,3
3059,634,815,3
3061,660,835,3
3066,686,835,3
3068,709,835,3
67,750,835,3
3072,783,835,3
68,805,837,3
3065,805,825,3
3074,805,848,3
69,825,835,3
3071,840,835,3
70,860,835,3
3076,882,835,3
71,904,835,3
3082,935,820,3
72,935,800,3
3081,935,780,3
3084,935,763,3
3086,935,746,3
73,935,724,3
3089,935,703,3
74,935,680,3
3088,945,680,3
75,897,680,3
3099,870,680,3
3091,880,668,3
76,935,652,3
77,932,633,3
3092,948,638,3
78,940,600,3
85,940,566,3
79,1010,600,3
80,1010,566,3
